"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G06003702197003","060372197003","13","5"
"G06003702198001","060372198001","15","6"
"G06003702198002","060372198002","13","5"
"G06003702198003","060372198003","18","6"
"G06003702199011","060372199011","20","7"
"G06003702199012","060372199012","19","6"
"G06003702199013","060372199013","19","6"
"G06003702199021","060372199021","12","5"
"G06003702199022","060372199022","12","5"
"G06003702199023","060372199023","14","5"
"G06003702200001","060372200001","15","6"
"G06003702200002","060372200002","15","6"
"G06003702200003","060372200003","15","6"
"G06003702200004","060372200004","15","6"
"G06003702200005","060372200005","15","6"
"G06003702201001","060372201001","7","3"
"G06003702201002","060372201002","10","4"
"G06003702201003","060372201003","7","3"
"G06003702211101","060372211101","8","3"
"G06003702211102","060372211102","8","3"
"G06003702211201","060372211201","12","5"
"G06003702211202","060372211202","12","5"
"G06003702212101","060372212101","6","3"
"G06003702212102","060372212102","9","4"
"G06003702212201","060372212201","15","6"
"G06003702212202","060372212202","15","6"
"G06003702213021","060372213021","16","6"
"G06003702213022","060372213022","15","6"
"G06003702213031","060372213031","9","4"
"G06003702213032","060372213032","9","4"
"G06003702213041","060372213041","11","4"
"G06003702213042","060372213042","11","4"
"G06003702214011","060372214011","13","5"
"G06003702214012","060372214012","15","6"
"G06003702214021","060372214021","3","2"
"G06003702214022","060372214022","6","3"
"G06003702215001","060372215001","11","4"
"G06003702215002","060372215002","5","3"
"G06003702216011","060372216011","9","4"
"G06003702216012","060372216012","11","4"
"G06003702216021","060372216021","10","4"
"G06003702216022","060372216022","15","6"
"G06003702217101","060372217101","16","6"
"G06003702217102","060372217102","15","6"
"G06003702218101","060372218101","13","5"
"G06003702218102","060372218102","10","4"
"G06003702218201","060372218201","7","3"
"G06003702218202","060372218202","7","3"
"G06003702219001","060372219001","GQ","GQ"
"G06003702219002","060372219002","5","3"
"G06003702220011","060372220011","9","4"
"G06003702220012","060372220012","10","4"
"G06003702220021","060372220021","16","6"
"G06003702220022","060372220022","15","6"
"G06003702220023","060372220023","15","6"
"G06003702220024","060372220024","14","5"
"G06003702221001","060372221001","6","3"
"G06003702221002","060372221002","15","6"
"G06003702221003","060372221003","9","4"
"G06003702222001","060372222001","6","3"
"G06003702222002","060372222002","6","3"
"G06003702225001","060372225001","13","5"
"G06003702225002","060372225002","16","6"
"G06003702225003","060372225003","16","6"
"G06003702226001","060372226001","18","6"
"G06003702226002","060372226002","22","7"
"G06003702226003","060372226003","20","7"
"G06003702227001","060372227001","GQ","GQ"
"G06003702240101","060372240101","14","5"
"G06003702240102","060372240102","13","5"
"G06003702240201","060372240201","11","4"
"G06003702240202","060372240202","11","4"
"G06003702242001","060372242001","8","3"
"G06003702242002","060372242002","8","3"
"G06003702243101","060372243101","8","3"
"G06003702243102","060372243102","8","3"
"G06003702243201","060372243201","14","5"
"G06003702243202","060372243202","14","5"
"G06003702244101","060372244101","6","3"
"G06003702244102","060372244102","20","7"
"G06003702244201","060372244201","7","3"
"G06003702244202","060372244202","7","3"
"G06003702246001","060372246001","20","7"
"G06003702246002","060372246002","21","7"
"G06003702247011","060372247011","GQ","GQ"
"G06003702247021","060372247021","GQ","GQ"
"G06003702260011","060372260011","31","8"
"G06003702260021","060372260021","16","6"
"G06003702260022","060372260022","21","7"
"G06003702264101","060372264101","15","6"
"G06003702264102","060372264102","23","7"
"G06003702264201","060372264201","29","8"
"G06003702264202","060372264202","30","8"
"G06003702264203","060372264203","28","8"
"G06003702267011","060372267011","21","7"
"G06003702267012","060372267012","22","7"
"G06003702267021","060372267021","23","7"
"G06003702267022","060372267022","22","7"
"G06003702270101","060372270101","22","7"
"G06003702270102","060372270102","21","7"
"G06003702270103","060372270103","35","9"
"G06003702270201","060372270201","17","6"
"G06003702270202","060372270202","37","9"
"G06003702281001","060372281001","26","8"
"G06003702281002","060372281002","25","8"
"G06003702281003","060372281003","25","8"
"G06003702282101","060372282101","31","8"
"G06003702282102","060372282102","26","8"
"G06003702282201","060372282201","24","7"
"G06003702282202","060372282202","23","7"
"G06003702282203","060372282203","24","7"
"G06003702283101","060372283101","31","8"
"G06003702283102","060372283102","28","8"
"G06003702283103","060372283103","29","8"
"G06003702283201","060372283201","29","8"
"G06003702283202","060372283202","27","8"
"G06003702284101","060372284101","25","8"
"G06003702284102","060372284102","25","8"
"G06003702284201","060372284201","20","7"
"G06003702284202","060372284202","22","7"
"G06003702285001","060372285001","26","8"
"G06003702285002","060372285002","29","8"
"G06003702285003","060372285003","24","7"
"G06003702286001","060372286001","14","5"
"G06003702286002","060372286002","16","6"
"G06003702287101","060372287101","30","8"
"G06003702287102","060372287102","30","8"
"G06003702287201","060372287201","25","8"
"G06003702287202","060372287202","23","7"
"G06003702287203","060372287203","28","8"
"G06003702288001","060372288001","26","8"
"G06003702288002","060372288002","26","8"
"G06003702288003","060372288003","30","8"
"G06003702289001","060372289001","28","8"
"G06003702289002","060372289002","41","9"
"G06003702291001","060372291001","17","6"
"G06003702291002","060372291002","27","8"
"G06003702292001","060372292001","29","8"
"G06003702292002","060372292002","32","8"
"G06003702293001","060372293001","17","6"
"G06003702293002","060372293002","15","6"
"G06003702293003","060372293003","23","7"
"G06003702294101","060372294101","26","8"
"G06003702294102","060372294102","26","8"
"G06003702294201","060372294201","30","8"
"G06003702294202","060372294202","25","8"
"G06003702311001","060372311001","29","8"
"G06003702311002","060372311002","GQ","GQ"
"G06003702312101","060372312101","27","8"
"G06003702312102","060372312102","27","8"
"G06003702312201","060372312201","31","8"
"G06003702312202","060372312202","12","5"
"G06003702313011","060372313011","20","7"
"G06003702313021","060372313021","14","5"
"G06003702313022","060372313022","32","8"
"G06003702313023","060372313023","12","5"
"G06003702314001","060372314001","14","5"
"G06003702314002","060372314002","12","5"
"G06003702314003","060372314003","18","6"
"G06003702315001","060372315001","14","5"
"G06003702315002","060372315002","12","5"
"G06003702315003","060372315003","14","5"
"G06003702316011","060372316011","20","7"
"G06003702316012","060372316012","13","5"
"G06003702316021","060372316021","16","6"
"G06003702316022","060372316022","16","6"
"G06003702316031","060372316031","11","4"
"G06003702316032","060372316032","21","7"
"G06003702317101","060372317101","21","7"
"G06003702317102","060372317102","21","7"
"G06003702317103","060372317103","21","7"
"G06003702317201","060372317201","28","8"
"G06003702317202","060372317202","28","8"
"G06003702317203","060372317203","28","8"
"G06003702318001","060372318001","19","6"
"G06003702318002","060372318002","18","6"
"G06003702318003","060372318003","19","6"
"G06003702318004","060372318004","18","6"
"G06003702319011","060372319011","24","7"
"G06003702319021","060372319021","22","7"
"G06003702319022","060372319022","23","7"
"G06003702321101","060372321101","38","9"
"G06003702321102","060372321102","34","9"
"G06003702321201","060372321201","23","7"
"G06003702321202","060372321202","21","7"
"G06003702321203","060372321203","21","7"
"G06003702322001","060372322001","14","5"
"G06003702322002","060372322002","20","7"
"G06003702322003","060372322003","22","7"
"G06003702323001","060372323001","28","8"
"G06003702323002","060372323002","19","6"
"G06003702323003","060372323003","17","6"
"G06003702324011","060372324011","18","6"
"G06003702324012","060372324012","24","7"
"G06003702324013","060372324013","28","8"
"G06003702324021","060372324021","24","7"
"G06003702324022","060372324022","15","6"
"G06003702325001","060372325001","20","7"
"G06003702325002","060372325002","20","7"
"G06003702325003","060372325003","19","6"
"G06003702325004","060372325004","23","7"
"G06003702326011","060372326011","24","7"
"G06003702326021","060372326021","18","6"
"G06003702326022","060372326022","35","9"
"G06003702327011","060372327011","17","6"
"G06003702327021","060372327021","20","7"
"G06003702327022","060372327022","29","8"
"G06003702328001","060372328001","20","7"
"G06003702328002","060372328002","22","7"
"G06003702340011","060372340011","6","3"
"G06003702340012","060372340012","5","3"
"G06003702340013","060372340013","8","3"
"G06003702340021","060372340021","15","6"
"G06003702340022","060372340022","7","3"
"G06003702342001","060372342001","10","4"
"G06003702342002","060372342002","7","3"
"G06003702342003","060372342003","7","3"
"G06003702343011","060372343011","5","3"
"G06003702343012","060372343012","12","5"
"G06003702343021","060372343021","12","5"
"G06003702343022","060372343022","13","5"
"G06003702345011","060372345011","23","7"
"G06003702345012","060372345012","15","6"
"G06003702345021","060372345021","13","5"
"G06003702345022","060372345022","13","5"
"G06003702345023","060372345023","12","5"
"G06003702346001","060372346001","23","7"
"G06003702346002","060372346002","12","5"
"G06003702346003","060372346003","16","6"
"G06003702346004","060372346004","11","4"
"G06003702347001","060372347001","27","8"
"G06003702347002","060372347002","23","7"
"G06003702347003","060372347003","21","7"
"G06003702347004","060372347004","14","5"
"G06003702348001","060372348001","20","7"
"G06003702348002","060372348002","19","6"
"G06003702348003","060372348003","22","7"
"G06003702348004","060372348004","25","8"
"G06003702349011","060372349011","22","7"
"G06003702349012","060372349012","23","7"
"G06003702349021","060372349021","14","5"
"G06003702349022","060372349022","14","5"
"G06003702349023","060372349023","14","5"
"G06003702351001","060372351001","9","4"
"G06003702351002","060372351002","9","4"
"G06003702351003","060372351003","7","3"
"G06003702351004","060372351004","7","3"
"G06003702352011","060372352011","22","7"
"G06003702352012","060372352012","14","5"
"G06003702352013","060372352013","22","7"
"G06003702352021","060372352021","27","8"
"G06003702352022","060372352022","18","6"
"G06003702352023","060372352023","12","5"
"G06003702360011","060372360011","12","5"
"G06003702360012","060372360012","4","2"
"G06003702360013","060372360013","5","3"
"G06003702360014","060372360014","18","6"
"G06003702361011","060372361011","11","4"
"G06003702361012","060372361012","12","5"
"G06003702361021","060372361021","17","6"
"G06003702361022","060372361022","22","7"
"G06003702362031","060372362031","13","5"
"G06003702362032","060372362032","14","5"
"G06003702362041","060372362041","13","5"
"G06003702362042","060372362042","13","5"
"G06003702362051","060372362051","34","9"
"G06003702362052","060372362052","34","9"
"G06003702362061","060372362061","13","5"
"G06003702362062","060372362062","12","5"
"G06003702364001","060372364001","4","2"
"G06003702364002","060372364002","5","3"
"G06003702364003","060372364003","8","3"
"G06003702371011","060372371011","16","6"
"G06003702371012","060372371012","16","6"
"G06003702371013","060372371013","16","6"
"G06003702371014","060372371014","16","6"
"G06003702371021","060372371021","27","8"
"G06003702371022","060372371022","25","8"
"G06003702372011","060372372011","28","8"
"G06003702372012","060372372012","26","8"
"G06003702372013","060372372013","24","7"
"G06003702372021","060372372021","23","7"
"G06003702372022","060372372022","18","6"
"G06003702372023","060372372023","26","8"
"G06003702372024","060372372024","19","6"
"G06003702373001","060372373001","19","6"
"G06003702373002","060372373002","19","6"
"G06003702373003","060372373003","20","7"
"G06003702373004","060372373004","18","6"
"G06003702373005","060372373005","21","7"
"G06003702374011","060372374011","24","7"
"G06003702374012","060372374012","30","8"
"G06003702374013","060372374013","25","8"
"G06003702374021","060372374021","28","8"
"G06003702374022","060372374022","20","7"
"G06003702374023","060372374023","23","7"
"G06003702375001","060372375001","27","8"
"G06003702375002","060372375002","26","8"
"G06003702376001","060372376001","33","9"
"G06003702376002","060372376002","33","9"
"G06003702376003","060372376003","33","9"
"G06003702376004","060372376004","33","9"
"G06003702377101","060372377101","22","7"
"G06003702377102","060372377102","17","6"
"G06003702377201","060372377201","32","8"
"G06003702377202","060372377202","30","8"
"G06003702378001","060372378001","25","8"
"G06003702378002","060372378002","25","8"
"G06003702378003","060372378003","24","7"
"G06003702378004","060372378004","22","7"
"G06003702379001","060372379001","21","7"
"G06003702379002","060372379002","20","7"
"G06003702379003","060372379003","17","6"
"G06003702379004","060372379004","20","7"
"G06003702380001","060372380001","25","8"
"G06003702380002","060372380002","17","6"
"G06003702380003","060372380003","17","6"
"G06003702380004","060372380004","19","6"
"G06003702380005","060372380005","18","6"
"G06003702380006","060372380006","19","6"
"G06003702381001","060372381001","20","7"
"G06003702381002","060372381002","17","6"
"G06003702381003","060372381003","18","6"
"G06003702381004","060372381004","17","6"
"G06003702382001","060372382001","22","7"
"G06003702382002","060372382002","23","7"
"G06003702382003","060372382003","22","7"
"G06003702382004","060372382004","22","7"
"G06003702383101","060372383101","34","9"
"G06003702383102","060372383102","35","9"
"G06003702383201","060372383201","23","7"
"G06003702383202","060372383202","21","7"
"G06003702383203","060372383203","23","7"
"G06003702384001","060372384001","15","6"
"G06003702384002","060372384002","14","5"
"G06003702384003","060372384003","15","6"
"G06003702384004","060372384004","15","6"
"G06003702392011","060372392011","38","9"
"G06003702392012","060372392012","31","8"
"G06003702392013","060372392013","26","8"
"G06003702392021","060372392021","15","6"
"G06003702392022","060372392022","15","6"
"G06003702392023","060372392023","15","6"
"G06003702393101","060372393101","28","8"
"G06003702393102","060372393102","28","8"
"G06003702393103","060372393103","29","8"
"G06003702393201","060372393201","24","7"
"G06003702393202","060372393202","14","5"
"G06003702393301","060372393301","28","8"
"G06003702393302","060372393302","31","8"
"G06003702395011","060372395011","32","8"
"G06003702395012","060372395012","30","8"
"G06003702395013","060372395013","31","8"
"G06003702395021","060372395021","27","8"
"G06003702395022","060372395022","25","8"
"G06003702395023","060372395023","25","8"
"G06003702396011","060372396011","22","7"
"G06003702396012","060372396012","23","7"
"G06003702396021","060372396021","33","9"
"G06003702396022","060372396022","20","7"
"G06003702397011","060372397011","31","8"
"G06003702397012","060372397012","31","8"
"G06003702397021","060372397021","29","8"
"G06003702397022","060372397022","35","9"
"G06003702397023","060372397023","27","8"
"G06003702398011","060372398011","22","7"
"G06003702398012","060372398012","50","10"
"G06003702398013","060372398013","22","7"
"G06003702398021","060372398021","27","8"
"G06003702398022","060372398022","26","8"
"G06003702398023","060372398023","27","8"
"G06003702398024","060372398024","27","8"
"G06003702400101","060372400101","29","8"
"G06003702400102","060372400102","33","9"
"G06003702400201","060372400201","29","8"
"G06003702400202","060372400202","24","7"
"G06003702400203","060372400203","23","7"
"G06003702402001","060372402001","32","8"
"G06003702402002","060372402002","29","8"
"G06003702402003","060372402003","28","8"
"G06003702403011","060372403011","21","7"
"G06003702403012","060372403012","17","6"
"G06003702403021","060372403021","21","7"
"G06003702403022","060372403022","19","6"
"G06003702404011","060372404011","23","7"
"G06003702404012","060372404012","25","8"
"G06003702404013","060372404013","24","7"
"G06003702404021","060372404021","28","8"
"G06003702404022","060372404022","28","8"
"G06003702404023","060372404023","32","8"
"G06003702405001","060372405001","31","8"
"G06003702405002","060372405002","26","8"
"G06003702405003","060372405003","24","7"
"G06003702405004","060372405004","25","8"
"G06003702406001","060372406001","29","8"
"G06003702406002","060372406002","27","8"
"G06003702406003","060372406003","35","9"
"G06003702406004","060372406004","31","8"
"G06003702407001","060372407001","28","8"
"G06003702407002","060372407002","31","8"
"G06003702407003","060372407003","28","8"
"G06003702407004","060372407004","28","8"
"G06003702407005","060372407005","31","8"
"G06003702408001","060372408001","34","9"
"G06003702408002","060372408002","30","8"
"G06003702408003","060372408003","31","8"
"G06003702409011","060372409011","30","8"
"G06003702409012","060372409012","30","8"
"G06003702409021","060372409021","32","8"
"G06003702409022","060372409022","31","8"
"G06003702410011","060372410011","40","9"
"G06003702410012","060372410012","24","7"
"G06003702410013","060372410013","24","7"
"G06003702410021","060372410021","27","8"
"G06003702410022","060372410022","27","8"
"G06003702410023","060372410023","27","8"
"G06003702411101","060372411101","21","7"
"G06003702411102","060372411102","28","8"
"G06003702411201","060372411201","33","9"
"G06003702411202","060372411202","34","9"
"G06003702411203","060372411203","27","8"
"G06003702411204","060372411204","28","8"
"G06003702412011","060372412011","24","7"
"G06003702412012","060372412012","26","8"
"G06003702412013","060372412013","26","8"
"G06003702412021","060372412021","24","7"
"G06003702412022","060372412022","24","7"
"G06003702412023","060372412023","24","7"
"G06003702412024","060372412024","24","7"
"G06003702412025","060372412025","24","7"
"G06003702413001","060372413001","28","8"
"G06003702413002","060372413002","23","7"
"G06003702414001","060372414001","32","8"
"G06003702414002","060372414002","23","7"
"G06003702420001","060372420001","28","8"
"G06003702420002","060372420002","27","8"
"G06003702420003","060372420003","32","8"
"G06003702421001","060372421001","14","5"
"G06003702422011","060372422011","37","9"
"G06003702422012","060372422012","42","9"
"G06003702422021","060372422021","29","8"
"G06003702422022","060372422022","38","9"
"G06003702423001","060372423001","41","9"
"G06003702423002","060372423002","31","8"
"G06003702423003","060372423003","26","8"
"G06003702426001","060372426001","31","8"
"G06003702426002","060372426002","31","8"
"G06003702426003","060372426003","31","8"
"G06003702427001","060372427001","29","8"
"G06003702427002","060372427002","25","8"
"G06003702427003","060372427003","27","8"
"G06003702430011","060372430011","28","8"
"G06003702430012","060372430012","31","8"
"G06003702430021","060372430021","28","8"
"G06003702430022","060372430022","28","8"
"G06003702431001","060372431001","36","9"
"G06003702431002","060372431002","38","9"
"G06003702431003","060372431003","35","9"
"G06003702611021","060372611021","1","1"
"G06003702611022","060372611022","1","1"
"G06003702611023","060372611023","1","1"
"G06003702611031","060372611031","1","1"
"G06003702611041","060372611041","1","1"
"G06003702612001","060372612001","1","1"
"G06003702612002","060372612002","1","1"
"G06003702621001","060372621001","1","1"
"G06003702621002","060372621002","1","1"
"G06003702621003","060372621003","1","1"
"G06003702622001","060372622001","1","1"
"G06003702622002","060372622002","1","1"
"G06003702622003","060372622003","1","1"
"G06003702623011","060372623011","1","1"
"G06003702623021","060372623021","1","1"
"G06003702623022","060372623022","1","1"
"G06003702623031","060372623031","1","1"
"G06003702623032","060372623032","1","1"
"G06003702623033","060372623033","1","1"
"G06003702624001","060372624001","1","1"
"G06003702624002","060372624002","1","1"
"G06003702625011","060372625011","1","1"
"G06003702625012","060372625012","1","1"
"G06003702625013","060372625013","1","1"
"G06003702626011","060372626011","1","1"
"G06003702626012","060372626012","1","1"
"G06003702626041","060372626041","1","1"
"G06003702626042","060372626042","1","1"
"G06003702626043","060372626043","1","1"
"G06003702626044","060372626044","1","1"
"G06003702626045","060372626045","1","1"
"G06003702627041","060372627041","1","1"
"G06003702627042","060372627042","1","1"
"G06003702627061","060372627061","1","1"
"G06003702627062","060372627062","1","1"
"G06003702627063","060372627063","1","1"
"G06003702628021","060372628021","1","1"
"G06003702628022","060372628022","1","1"
"G06003702628023","060372628023","1","1"
"G06003702640001","060372640001","1","1"
"G06003702640002","060372640002","1","1"
"G06003702640003","060372640003","1","1"
"G06003702641021","060372641021","7","3"
"G06003702641022","060372641022","5","3"
"G06003702641031","060372641031","6","3"
"G06003702641032","060372641032","4","2"
"G06003702643031","060372643031","3","2"
"G06003702643032","060372643032","8","3"
"G06003702643041","060372643041","6","3"
"G06003702643042","060372643042","7","3"
"G06003702643051","060372643051","5","3"
"G06003702643052","060372643052","1","1"
"G06003702643053","060372643053","1","1"
"G06003702643061","060372643061","2","1"
"G06003702651001","060372651001","1","1"
"G06003702651002","060372651002","1","1"
"G06003702652011","060372652011","6","3"
"G06003702652012","060372652012","GQ","GQ"
"G06003702652031","060372652031","3","2"
"G06003702652032","060372652032","4","2"
"G06003702652041","060372652041","9","4"
"G06003702653011","060372653011","GQ-PH","GQ-PH"
"G06003702653012","060372653012","PH","PH"
"G06003702653031","060372653031","13","5"
"G06003702653032","060372653032","13","5"
"G06003702653033","060372653033","13","5"
"G06003702653041","060372653041","14","5"
"G06003702653042","060372653042","14","5"
"G06003702653061","060372653061","14","5"
"G06003702653071","060372653071","14","5"
"G06003702653072","060372653072","QDI","QDI"
"G06003702654101","060372654101","1","1"
"G06003702654102","060372654102","2","1"
"G06003702654201","060372654201","1","1"
"G06003702654202","060372654202","1","1"
"G06003702655211","060372655211","12","5"
"G06003702655212","060372655212","12","5"
"G06003702655221","060372655221","11","4"
"G06003702655222","060372655222","11","4"
"G06003702655231","060372655231","5","3"
"G06003702655232","060372655232","6","3"
"G06003702655241","060372655241","5","3"
"G06003702655242","060372655242","5","3"
"G06003702656011","060372656011","2","1"
"G06003702656012","060372656012","4","2"
"G06003702656021","060372656021","2","1"
"G06003702656022","060372656022","2","1"
"G06003702657011","060372657011","1","1"
"G06003702657021","060372657021","1","1"
"G06003702657022","060372657022","1","1"
"G06003702657023","060372657023","1","1"
"G06003702671011","060372671011","5","3"
"G06003702671012","060372671012","2","1"
"G06003702671021","060372671021","3","2"
"G06003702671022","060372671022","4","2"
"G06003702672011","060372672011","2","1"
"G06003702672012","060372672012","3","2"
"G06003702672013","060372672013","2","1"
"G06003702672021","060372672021","3","2"
"G06003702672022","060372672022","4","2"
"G06003702672023","060372672023","2","1"
"G06003702673001","060372673001","14","5"
"G06003702673002","060372673002","12","5"
"G06003702673003","060372673003","13","5"
"G06003702674031","060372674031","8","3"
"G06003702674032","060372674032","9","4"
"G06003702674033","060372674033","7","3"
"G06003702674041","060372674041","3","2"
"G06003702674042","060372674042","4","2"
"G06003702674051","060372674051","5","3"
"G06003702674052","060372674052","9","4"
"G06003702674061","060372674061","9","4"
"G06003702675021","060372675021","3","2"
"G06003702675022","060372675022","3","2"
"G06003702675031","060372675031","4","2"
"G06003702675041","060372675041","8","3"
"G06003702675042","060372675042","7","3"
"G06003702676001","060372676001","5","3"
"G06003702676002","060372676002","5","3"
"G06003702676003","060372676003","4","2"
"G06003702677001","060372677001","5","3"
"G06003702677002","060372677002","3","2"
"G06003702678001","060372678001","2","1"
"G06003702678002","060372678002","1","1"
"G06003702678003","060372678003","2","1"
"G06003702679011","060372679011","2","1"
"G06003702679012","060372679012","2","1"
"G06003702679021","060372679021","2","1"
"G06003702679022","060372679022","2","1"
"G06003702679023","060372679023","4","2"
"G06003702690001","060372690001","1","1"
"G06003702690002","060372690002","1","1"
"G06003702690003","060372690003","1","1"
"G06003702690004","060372690004","5","3"
"G06003702690005","060372690005","1","1"
"G06003702691001","060372691001","1","1"
"G06003702691002","060372691002","1","1"
"G06003702691003","060372691003","1","1"
"G06003702691004","060372691004","1","1"
"G06003702693001","060372693001","1","1"
"G06003702693002","060372693002","1","1"
"G06003702693003","060372693003","1","1"
"G06003702693004","060372693004","1","1"
"G06003702693005","060372693005","1","1"
"G06003702695001","060372695001","1","1"
"G06003702695002","060372695002","1","1"
"G06003702695003","060372695003","1","1"
"G06003702695004","060372695004","1","1"
"G06003702696011","060372696011","9","4"
"G06003702696012","060372696012","9","4"
"G06003702696013","060372696013","9","4"
"G06003702696021","060372696021","3","2"
"G06003702696022","060372696022","3","2"
"G06003702697001","060372697001","4","2"
"G06003702697002","060372697002","4","2"
"G06003702697003","060372697003","4","2"
"G06003702697004","060372697004","3","2"
"G06003702698001","060372698001","2","1"
"G06003702698002","060372698002","15","6"
"G06003702699031","060372699031","4","2"
"G06003702699032","060372699032","4","2"
"G06003702699051","060372699051","10","4"
"G06003702699052","060372699052","10","4"
"G06003702699061","060372699061","6","3"
"G06003702699062","060372699062","9","4"
"G06003702699071","060372699071","7","3"
"G06003702699072","060372699072","7","3"
"G06003702699081","060372699081","11","4"
"G06003702699082","060372699082","11","4"
"G06003702699091","060372699091","13","5"
"G06003702699092","060372699092","11","4"
"G06003702701011","060372701011","11","4"
"G06003702701012","060372701012","10","4"
"G06003702701021","060372701021","3","2"
"G06003702701022","060372701022","3","2"
"G06003702702001","060372702001","5","3"
"G06003702702002","060372702002","4","2"
"G06003702702003","060372702003","3","2"
"G06003702703001","060372703001","8","3"
"G06003702703002","060372703002","1","1"
"G06003702711001","060372711001","2","1"
"G06003702711002","060372711002","2","1"
"G06003702711003","060372711003","4","2"
"G06003702712001","060372712001","6","3"
"G06003702712002","060372712002","5","3"
"G06003702713001","060372713001","3","2"
"G06003702713002","060372713002","3","2"
"G06003702713003","060372713003","3","2"
"G06003702713004","060372713004","2","1"
"G06003702714001","060372714001","2","1"
"G06003702714002","060372714002","1","1"
"G06003702714003","060372714003","1","1"
"G06003702715001","060372715001","1","1"
"G06003702715002","060372715002","1","1"
"G06003702715003","060372715003","1","1"
"G06003702716001","060372716001","2","1"
"G06003702716002","060372716002","2","1"
"G06003702716003","060372716003","2","1"
"G06003702716004","060372716004","2","1"
"G06003702717021","060372717021","3","2"
"G06003702717022","060372717022","3","2"
"G06003702717023","060372717023","3","2"
"G06003702717031","060372717031","2","1"
"G06003702717032","060372717032","2","1"
"G06003702717033","060372717033","2","1"
"G06003702717041","060372717041","2","1"
"G06003702717042","060372717042","1","1"
"G06003702718011","060372718011","3","2"
"G06003702718012","060372718012","3","2"
"G06003702718013","060372718013","3","2"
"G06003702718031","060372718031","13","5"
"G06003702718032","060372718032","13","5"
"G06003702718041","060372718041","2","1"
"G06003702718042","060372718042","2","1"
"G06003702719011","060372719011","3","2"
"G06003702719012","060372719012","1","1"
"G06003702719013","060372719013","2","1"
"G06003702719021","060372719021","1","1"
"G06003702719022","060372719022","1","1"
"G06003702719023","060372719023","2","1"
"G06003702721001","060372721001","2","1"
"G06003702721002","060372721002","2","1"
"G06003702721003","060372721003","2","1"
"G06003702721004","060372721004","2","1"
"G06003702721005","060372721005","2","1"
"G06003702722011","060372722011","4","2"
"G06003702722012","060372722012","4","2"
"G06003702722021","060372722021","4","2"
"G06003702722022","060372722022","8","3"
"G06003702723011","060372723011","4","2"
"G06003702723012","060372723012","3","2"
"G06003702723013","060372723013","4","2"
"G06003702723021","060372723021","1","1"
"G06003702723022","060372723022","7","3"
"G06003702731001","060372731001","2","1"
"G06003702731002","060372731002","1","1"
"G06003702731003","060372731003","1","1"
"G06003702732001","060372732001","1","1"
"G06003702732002","060372732002","1","1"
"G06003702732003","060372732003","1","1"
"G06003702732004","060372732004","1","1"
"G06003702733001","060372733001","1","1"
"G06003702733002","060372733002","1","1"
"G06003702733003","060372733003","1","1"
"G06003702734031","060372734031","1","1"
"G06003702734032","060372734032","1","1"
"G06003702734041","060372734041","1","1"
"G06003702734042","060372734042","1","1"
"G06003702735021","060372735021","1","1"
"G06003702735022","060372735022","1","1"
"G06003702735023","060372735023","1","1"
"G06003702736001","060372736001","1","1"
"G06003702736002","060372736002","1","1"
"G06003702736003","060372736003","1","1"
"G06003702737001","060372737001","1","1"
"G06003702737002","060372737002","1","1"
"G06003702737003","060372737003","1","1"
"G06003702738001","060372738001","1","1"
"G06003702738002","060372738002","1","1"
"G06003702738003","060372738003","1","1"
"G06003702739021","060372739021","1","1"
"G06003702739022","060372739022","1","1"
"G06003702739023","060372739023","1","1"
"G06003702739024","060372739024","1","1"
"G06003702739025","060372739025","1","1"
"G06003702741001","060372741001","2","1"
"G06003702741002","060372741002","2","1"
"G06003702741003","060372741003","2","1"
"G06003702741004","060372741004","2","1"
"G06003702742021","060372742021","1","1"
"G06003702742022","060372742022","1","1"
"G06003702742023","060372742023","2","1"
"G06003702742024","060372742024","1","1"
"G06003702751011","060372751011","4","2"
"G06003702751021","060372751021","2","1"
"G06003702751022","060372751022","3","2"
"G06003702751023","060372751023","3","2"
"G06003702752001","060372752001","5","3"
"G06003702752002","060372752002","5","3"
"G06003702752003","060372752003","5","3"
"G06003702753111","060372753111","5","3"
"G06003702753112","060372753112","3","2"
"G06003702753113","060372753113","5","3"
"G06003702753114","060372753114","3","2"
"G06003702753121","060372753121","5","3"
"G06003702753131","060372753131","3","2"
"G06003702753132","060372753132","3","2"
"G06003702754001","060372754001","3","2"
"G06003702754002","060372754002","2","1"
"G06003702754003","060372754003","3","2"
"G06003702755001","060372755001","8","3"
"G06003702755002","060372755002","8","3"
"G06003702755003","060372755003","8","3"
"G06003702755004","060372755004","8","3"
"G06003702756031","060372756031","3","2"
"G06003702756032","060372756032","7","3"
"G06003702756033","060372756033","5","3"
"G06003702756041","060372756041","3","2"
"G06003702756042","060372756042","2","1"
"G06003702756043","060372756043","2","1"
"G06003702756051","060372756051","2","1"
"G06003702756052","060372756052","1","1"
"G06003702760001","060372760001","2","1"
"G06003702760002","060372760002","2","1"
"G06003702760003","060372760003","4","2"
"G06003702760004","060372760004","3","2"
"G06003702760005","060372760005","3","2"
"G06003702761011","060372761011","11","4"
"G06003702761012","060372761012","11","4"
"G06003702761021","060372761021","5","3"
"G06003702761022","060372761022","5","3"
"G06003702764001","060372764001","2","1"
"G06003702764002","060372764002","2","1"
"G06003702764003","060372764003","2","1"
"G06003702764004","060372764004","2","1"
