"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G06000104078001","060014078001","11","4"
"G06000104078002","060014078002","GQ","GQ"
"G06000104079001","060014079001","4","2"
"G06000104079002","060014079002","5","2"
"G06000104079003","060014079003","7","3"
"G06000104080001","060014080001","2","1"
"G06000104080002","060014080002","3","2"
"G06000104081001","060014081001","2","1"
"G06000104081002","060014081002","16","6"
"G06000104081003","060014081003","3","2"
"G06000104081004","060014081004","4","2"
"G06000104081005","060014081005","3","2"
"G06000104082001","060014082001","10","4"
"G06000104082002","060014082002","11","4"
"G06000104082003","060014082003","11","4"
"G06000104083001","060014083001","9","4"
"G06000104083002","060014083002","9","4"
"G06000104083003","060014083003","8","3"
"G06000104083004","060014083004","9","4"
"G06000104083005","060014083005","9","4"
"G06000104084001","060014084001","21","7"
"G06000104084002","060014084002","21","7"
"G06000104084003","060014084003","21","7"
"G06000104085001","060014085001","29","8"
"G06000104085002","060014085002","31","8"
"G06000104085003","060014085003","24","7"
"G06000104085004","060014085004","28","8"
"G06000104085005","060014085005","17","6"
"G06000104086001","060014086001","26","8"
"G06000104086002","060014086002","17","6"
"G06000104086003","060014086003","29","8"
"G06000104086004","060014086004","22","7"
"G06000104087001","060014087001","16","6"
"G06000104087002","060014087002","12","5"
"G06000104087003","060014087003","25","7"
"G06000104087004","060014087004","17","6"
"G06000104087005","060014087005","23","7"
"G06000104087006","060014087006","24","7"
"G06000104088001","060014088001","28","8"
"G06000104088002","060014088002","30","8"
"G06000104088003","060014088003","31","8"
"G06000104088004","060014088004","29","8"
"G06000104089001","060014089001","30","8"
"G06000104089002","060014089002","22","7"
"G06000104090001","060014090001","21","7"
"G06000104090002","060014090002","PH","PH"
"G06000104090003","060014090003","34","9"
"G06000104091001","060014091001","24","7"
"G06000104091002","060014091002","24","7"
"G06000104092001","060014092001","21","7"
"G06000104092002","060014092002","22","7"
"G06000104093001","060014093001","28","8"
"G06000104093002","060014093002","29","8"
"G06000104093003","060014093003","29","8"
"G06000104093004","060014093004","30","8"
"G06000104094001","060014094001","25","7"
"G06000104094002","060014094002","25","7"
"G06000104094003","060014094003","27","8"
"G06000104095001","060014095001","33","8"
"G06000104095002","060014095002","28","8"
"G06000104095003","060014095003","29","8"
"G06000104096001","060014096001","25","7"
"G06000104096002","060014096002","25","7"
"G06000104096003","060014096003","25","7"
"G06000104096004","060014096004","25","7"
